,time,MISO,MOSI
0,0.52179156,0xff,0xff
1,0.52179336,0xff,0x58
2,0.52179516,0xff,0x00
3,0.52179696,0xff,0x00
4,0.52179876,0xff,0x08
5,0.52180056,0xff,0x01
6,0.52180236,0xff,0xcd
7,0.52180416,0xff,0xff
8,0.52180596,0x00,0xff
9,0.52180776,0xff,0xff
10,0.52180956,0xff,0xff
11,0.52181136,0xff,0xff
12,0.52181316,0xff,0xff
13,0.52181496,0xff,0xff
14,0.52181676,0xff,0xff
15,0.52181856,0xff,0xff
16,0.52182036,0xff,0xff
17,0.52190316,0xff,0xfe
18,0.52192136,0xff,0x52
19,0.52192296,0xff,0x52
20,0.52192456,0xff,0x61
21,0.52192616,0xff,0x41
22,0.52192776,0xff,0x00
23,0.52192936,0xff,0x00
24,0.52193096,0xff,0x00
25,0.52193256,0xff,0x00
26,0.52193416,0xff,0x00
27,0.52193576,0xff,0x00
28,0.52193736,0xff,0x00
29,0.52193896,0xff,0x00
30,0.52194056,0xff,0x00
31,0.52194216,0xff,0x00
32,0.52194376,0xff,0x00
33,0.52194536,0xff,0x00
34,0.52194696,0xff,0x00
35,0.52194856,0xff,0x00
36,0.52195016,0xff,0x00
37,0.52195176,0xff,0x00
38,0.52195336,0xff,0x00
39,0.52195496,0xff,0x00
40,0.52195656,0xff,0x00
41,0.52195816,0xff,0x00
42,0.52195976,0xff,0x00
43,0.52196136,0xff,0x00
44,0.52196296,0xff,0x00
45,0.52196456,0xff,0x00
46,0.52196616,0xff,0x00
47,0.52196776,0xff,0x00
48,0.52196936,0xff,0x00
49,0.52197096,0xff,0x00
50,0.52197256,0xff,0x00
51,0.52197416,0xff,0x00
52,0.52197576,0xff,0x00
53,0.52197736,0xff,0x00
54,0.52197896,0xff,0x00
55,0.52198056,0xff,0x00
56,0.52198216,0xff,0x00
57,0.52198376,0xff,0x00
58,0.52198536,0xff,0x00
59,0.52198696,0xff,0x00
60,0.52198856,0xff,0x00
61,0.52199016,0xff,0x00
62,0.52199176,0xff,0x00
63,0.52199336,0xff,0x00
64,0.52199496,0xff,0x00
65,0.52199656,0xff,0x00
66,0.52199816,0xff,0x00
67,0.52199976,0xff,0x00
68,0.52200136,0xff,0x00
69,0.52200296,0xff,0x00
70,0.52200456,0xff,0x00
71,0.52200616,0xff,0x00
72,0.52200776,0xff,0x00
73,0.52200936,0xff,0x00
74,0.52201096,0xff,0x00
75,0.52201256,0xff,0x00
76,0.52201416,0xff,0x00
77,0.52201576,0xff,0x00
78,0.52201736,0xff,0x00
79,0.52201896,0xff,0x00
80,0.52202056,0xff,0x00
81,0.52202216,0xff,0x00
82,0.52202376,0xff,0x00
83,0.52202536,0xff,0x00
84,0.52202696,0xff,0x00
85,0.52202856,0xff,0x00
86,0.52203016,0xff,0x00
87,0.52203176,0xff,0x00
88,0.52203336,0xff,0x00
89,0.52203496,0xff,0x00
90,0.52203656,0xff,0x00
91,0.52203816,0xff,0x00
92,0.52203976,0xff,0x00
93,0.52204136,0xff,0x00
94,0.52204296,0xff,0x00
95,0.52204456,0xff,0x00
96,0.52204616,0xff,0x00
97,0.52204776,0xff,0x00
98,0.52204936,0xff,0x00
99,0.52205096,0xff,0x00
100,0.52205256,0xff,0x00
101,0.52205416,0xff,0x00
102,0.52205576,0xff,0x00
103,0.52205736,0xff,0x00
104,0.52205896,0xff,0x00
105,0.52206056,0xff,0x00
106,0.52206216,0xff,0x00
107,0.52206376,0xff,0x00
108,0.52206536,0xff,0x00
109,0.52206696,0xff,0x00
110,0.52206856,0xff,0x00
111,0.52207016,0xff,0x00
112,0.52207176,0xff,0x00
113,0.52207336,0xff,0x00
114,0.52207496,0xff,0x00
115,0.52207656,0xff,0x00
116,0.52207816,0xff,0x00
117,0.52207976,0xff,0x00
118,0.52208136,0xff,0x00
119,0.52208296,0xff,0x00
120,0.52208456,0xff,0x00
121,0.52208616,0xff,0x00
122,0.52208776,0xff,0x00
123,0.52208936,0xff,0x00
124,0.52209096,0xff,0x00
125,0.52209256,0xff,0x00
126,0.52209416,0xff,0x00
127,0.52209576,0xff,0x00
128,0.52209736,0xff,0x00
129,0.52209896,0xff,0x00
130,0.52210056,0xff,0x00
131,0.52210216,0xff,0x00
132,0.52210376,0xff,0x00
133,0.52210536,0xff,0x00
134,0.52210696,0xff,0x00
135,0.52210856,0xff,0x00
136,0.52211016,0xff,0x00
137,0.52211176,0xff,0x00
138,0.52211336,0xff,0x00
139,0.52211496,0xff,0x00
140,0.52211656,0xff,0x00
141,0.52211816,0xff,0x00
142,0.52211976,0xff,0x00
143,0.52212136,0xff,0x00
144,0.52212296,0xff,0x00
145,0.52212456,0xff,0x00
146,0.52212616,0xff,0x00
147,0.52212776,0xff,0x00
148,0.52212936,0xff,0x00
149,0.52213096,0xff,0x00
150,0.52213256,0xff,0x00
151,0.52213416,0xff,0x00
152,0.52213576,0xff,0x00
153,0.52213736,0xff,0x00
154,0.52213896,0xff,0x00
155,0.52214056,0xff,0x00
156,0.52214216,0xff,0x00
157,0.52214376,0xff,0x00
158,0.52214536,0xff,0x00
159,0.52214696,0xff,0x00
160,0.52214856,0xff,0x00
161,0.52215016,0xff,0x00
162,0.52215176,0xff,0x00
163,0.52215336,0xff,0x00
164,0.52215496,0xff,0x00
165,0.52215656,0xff,0x00
166,0.52215816,0xff,0x00
167,0.52215976,0xff,0x00
168,0.52216136,0xff,0x00
169,0.52216296,0xff,0x00
170,0.52216456,0xff,0x00
171,0.52216616,0xff,0x00
172,0.52216776,0xff,0x00
173,0.52216936,0xff,0x00
174,0.52217096,0xff,0x00
175,0.52217256,0xff,0x00
176,0.52217416,0xff,0x00
177,0.52217576,0xff,0x00
178,0.52217736,0xff,0x00
179,0.52217896,0xff,0x00
180,0.52218056,0xff,0x00
181,0.52218216,0xff,0x00
182,0.52218376,0xff,0x00
183,0.52218536,0xff,0x00
184,0.52218696,0xff,0x00
185,0.52218856,0xff,0x00
186,0.52219016,0xff,0x00
187,0.52219176,0xff,0x00
188,0.52219336,0xff,0x00
189,0.52219496,0xff,0x00
190,0.52219656,0xff,0x00
191,0.52219816,0xff,0x00
192,0.52219976,0xff,0x00
193,0.52220136,0xff,0x00
194,0.52220296,0xff,0x00
195,0.52220456,0xff,0x00
196,0.52220616,0xff,0x00
197,0.52220776,0xff,0x00
198,0.52220936,0xff,0x00
199,0.52221096,0xff,0x00
200,0.52221256,0xff,0x00
201,0.52221416,0xff,0x00
202,0.52221576,0xff,0x00
203,0.52221736,0xff,0x00
204,0.52221896,0xff,0x00
205,0.52222056,0xff,0x00
206,0.52222216,0xff,0x00
207,0.52222376,0xff,0x00
208,0.52222536,0xff,0x00
209,0.52222696,0xff,0x00
210,0.52222856,0xff,0x00
211,0.52223016,0xff,0x00
212,0.52223176,0xff,0x00
213,0.52223336,0xff,0x00
214,0.52223496,0xff,0x00
215,0.52223656,0xff,0x00
216,0.52223816,0xff,0x00
217,0.52223976,0xff,0x00
218,0.52224136,0xff,0x00
219,0.52224296,0xff,0x00
220,0.52224456,0xff,0x00
221,0.52224616,0xff,0x00
222,0.52224776,0xff,0x00
223,0.52224936,0xff,0x00
224,0.52225096,0xff,0x00
225,0.52225256,0xff,0x00
226,0.52225416,0xff,0x00
227,0.52225576,0xff,0x00
228,0.52225736,0xff,0x00
229,0.52225896,0xff,0x00
230,0.52226056,0xff,0x00
231,0.52226216,0xff,0x00
232,0.52226376,0xff,0x00
233,0.52226536,0xff,0x00
234,0.52226696,0xff,0x00
235,0.52226856,0xff,0x00
236,0.52227016,0xff,0x00
237,0.52227176,0xff,0x00
238,0.52227336,0xff,0x00
239,0.52227496,0xff,0x00
240,0.52227656,0xff,0x00
241,0.52227816,0xff,0x00
242,0.52227976,0xff,0x00
243,0.52228136,0xff,0x00
244,0.52228296,0xff,0x00
245,0.52228456,0xff,0x00
246,0.52228616,0xff,0x00
247,0.52228776,0xff,0x00
248,0.52228936,0xff,0x00
249,0.52229096,0xff,0x00
250,0.52229256,0xff,0x00
251,0.52229416,0xff,0x00
252,0.52229576,0xff,0x00
253,0.52229736,0xff,0x00
254,0.52229896,0xff,0x00
255,0.52230056,0xff,0x00
256,0.52230216,0xff,0x00
257,0.52230376,0xff,0x00
258,0.52230536,0xff,0x00
259,0.52230696,0xff,0x00
260,0.52230856,0xff,0x00
261,0.52231016,0xff,0x00
262,0.52231176,0xff,0x00
263,0.52231336,0xff,0x00
264,0.52231496,0xff,0x00
265,0.52231656,0xff,0x00
266,0.52231816,0xff,0x00
267,0.52231976,0xff,0x00
268,0.52232136,0xff,0x00
269,0.52232296,0xff,0x00
270,0.52232456,0xff,0x00
271,0.52232616,0xff,0x00
272,0.52232776,0xff,0x00
273,0.52232936,0xff,0x00
274,0.52233096,0xff,0x00
275,0.52233256,0xff,0x00
276,0.52233416,0xff,0x00
277,0.52233576,0xff,0x00
278,0.52233736,0xff,0x00
279,0.52233896,0xff,0x00
280,0.52234056,0xff,0x00
281,0.52234216,0xff,0x00
282,0.52234376,0xff,0x00
283,0.52234536,0xff,0x00
284,0.52234696,0xff,0x00
285,0.52234856,0xff,0x00
286,0.52235016,0xff,0x00
287,0.52235176,0xff,0x00
288,0.52235336,0xff,0x00
289,0.52235496,0xff,0x00
290,0.52235656,0xff,0x00
291,0.52235816,0xff,0x00
292,0.52235976,0xff,0x00
293,0.52236136,0xff,0x00
294,0.52236296,0xff,0x00
295,0.52236456,0xff,0x00
296,0.52236616,0xff,0x00
297,0.52236776,0xff,0x00
298,0.52236936,0xff,0x00
299,0.52237096,0xff,0x00
300,0.52237256,0xff,0x00
301,0.52237416,0xff,0x00
302,0.52237576,0xff,0x00
303,0.52237736,0xff,0x00
