,time,MISO,MOSI
0,0.6530508,0xff,0xff
1,0.6530526,0xff,0x4d
2,0.6530544,0xff,0x00
3,0.6530562,0xff,0x00
4,0.653058,0xff,0x00
5,0.6530598,0xff,0x00
6,0.6530616,0xff,0x0d
7,0.6530634,0xff,0xff
8,0.6530652,0x00,0xff
9,0.653067,0x00,0xff
10,0.6530688,0xff,0xff
11,0.6530706,0xff,0xff
12,0.6530724,0xff,0xff
13,0.6530742,0xff,0xff
14,0.653076,0xff,0xff
15,0.6530778,0xff,0xff
16,0.6530796,0xff,0xff
17,0.6530814,0xff,0xff
18,1.6930336,0xff,0xff
19,1.6930354,0xff,0x4d
20,1.6930372,0xff,0x00
21,1.693039,0xff,0x00
22,1.6930408,0xff,0x00
23,1.6930426,0xff,0x00
24,1.6930444,0xff,0x0d
25,1.6930462,0xff,0xff
26,1.693048,0x00,0xff
27,1.6930498,0x00,0xff
28,1.6930516,0xff,0xff
29,1.6930534,0xff,0xff
30,1.6930552,0xff,0xff
31,1.693057,0xff,0xff
32,1.6930588,0xff,0xff
33,1.6930606,0xff,0xff
34,1.6930624,0xff,0xff
35,1.6930642,0xff,0xff
36,2.73300668,0xff,0xff
37,2.73300848,0xff,0x4d
38,2.73301028,0xff,0x00
39,2.73301208,0xff,0x00
40,2.73301388,0xff,0x00
41,2.73301568,0xff,0x00
42,2.73301748,0xff,0x0d
43,2.73301928,0xff,0xff
44,2.73302108,0x00,0xff
45,2.73302288,0x00,0xff
46,2.73302468,0xff,0xff
47,2.73302648,0xff,0xff
48,2.73302828,0xff,0xff
49,2.73303008,0xff,0xff
50,2.73303188,0xff,0xff
51,2.73303368,0xff,0xff
52,2.73303548,0xff,0xff
53,2.73303728,0xff,0xff
54,3.77303264,0xff,0xff
55,3.77303444,0xff,0x4d
56,3.77303624,0xff,0x00
57,3.77303804,0xff,0x00
58,3.77303984,0xff,0x00
59,3.77304164,0xff,0x00
60,3.77304344,0xff,0x0d
61,3.77304524,0xff,0xff
62,3.77304704,0x00,0xff
63,3.77304884,0x00,0xff
64,3.77305064,0xff,0xff
65,3.77305244,0xff,0xff
66,3.77305424,0xff,0xff
67,3.77305604,0xff,0xff
68,3.77305784,0xff,0xff
69,3.77305964,0xff,0xff
70,3.77306144,0xff,0xff
71,3.77306324,0xff,0xff
72,4.81302576,0xff,0xff
73,4.81302756,0xff,0x4d
74,4.81302936,0xff,0x00
75,4.81303116,0xff,0x00
76,4.81303296,0xff,0x00
77,4.81303476,0xff,0x00
78,4.81303656,0xff,0x0d
79,4.81303836,0xff,0xff
80,4.81304016,0x00,0xff
81,4.81304196,0x00,0xff
82,4.81304376,0xff,0xff
83,4.81304556,0xff,0xff
84,4.81304736,0xff,0xff
85,4.81304916,0xff,0xff
86,4.81305096,0xff,0xff
87,4.81305276,0xff,0xff
88,4.81305456,0xff,0xff
89,4.81305636,0xff,0xff
90,5.85302264,0xff,0xff
91,5.85302444,0xff,0x4d
92,5.85302624,0xff,0x00
93,5.85302804,0xff,0x00
94,5.85302984,0xff,0x00
95,5.85303168,0xff,0x00
96,5.85303348,0xff,0x0d
97,5.85303524,0xff,0xff
98,5.85303704,0x00,0xff
99,5.85303884,0x00,0xff
100,5.85304064,0xff,0xff
101,5.85304244,0xff,0xff
102,5.85304424,0xff,0xff
103,5.85304604,0xff,0xff
104,5.85304784,0xff,0xff
105,5.85304964,0xff,0xff
106,5.85305144,0xff,0xff
107,5.85305324,0xff,0xff
108,6.89298652,0xff,0xff
109,6.89298832,0xff,0x4d
110,6.89299012,0xff,0x00
111,6.89299192,0xff,0x00
112,6.89299372,0xff,0x00
113,6.89299552,0xff,0x00
114,6.89299732,0xff,0x0d
115,6.89299912,0xff,0xff
116,6.89300092,0x00,0xff
117,6.89300272,0x00,0xff
118,6.89300452,0xff,0xff
119,6.89300632,0xff,0xff
120,6.89300812,0xff,0xff
121,6.89300992,0xff,0xff
122,6.89301172,0xff,0xff
123,6.89301352,0xff,0xff
124,6.89301532,0xff,0xff
125,6.89301712,0xff,0xff
126,7.93301116,0xff,0xff
127,7.93301296,0xff,0x4d
128,7.93301476,0xff,0x00
129,7.93301656,0xff,0x00
130,7.93301836,0xff,0x00
131,7.93302016,0xff,0x00
132,7.93302196,0xff,0x0d
133,7.93302376,0xff,0xff
134,7.93302556,0x00,0xff
135,7.93302736,0x00,0xff
136,7.93302916,0xff,0xff
137,7.93303096,0xff,0xff
138,7.93303276,0xff,0xff
139,7.93303456,0xff,0xff
140,7.93303636,0xff,0xff
141,7.93303816,0xff,0xff
142,7.93303996,0xff,0xff
143,7.93304176,0xff,0xff
144,8.9730022,0xff,0xff
145,8.973004,0xff,0x4d
146,8.9730058,0xff,0x00
147,8.9730076,0xff,0x00
148,8.9730094,0xff,0x00
149,8.9730112,0xff,0x00
150,8.973013,0xff,0x0d
151,8.9730148,0xff,0xff
152,8.9730166,0x00,0xff
153,8.9730184,0x00,0xff
154,8.9730202,0xff,0xff
155,8.973022,0xff,0xff
156,8.9730238,0xff,0xff
