,time,MISO,MOSI
0,0,0xff,0xff
1,0,0xff,0x58
2,0,0xff,0x29
3,0,0xff,0xe7
4,0,0xff,0xc5
5,0,0xff,0x86
6,0,0xff,0x00
7,0,0xff,0xff
8,0,0xff,0xff
9,0,0x00,0xff
10,0,0xff,0xff
11,0,0xff,0xfe
12,0,0xff,0x67
13,0,0xff,0x5a
14,0,0xff,0xd4
15,0,0xff,0x4e
16,0,0xff,0xee
17,0,0xff,0x84
18,0,0xff,0x36
19,0,0xff,0xbf
20,0,0xff,0xde
21,0,0xff,0x27
22,0,0xff,0x8d
23,0,0xff,0xef
24,0,0xff,0x3f
25,0,0xff,0x59
26,0,0xff,0x0b
27,0,0xff,0xc2
28,0,0xff,0x66
29,0,0xff,0x9e
30,0,0xff,0xe2
31,0,0xff,0x4c
32,0,0xff,0xd7
33,0,0xff,0x93
34,0,0xff,0x30
35,0,0xff,0xc7
36,0,0xff,0x41
37,0,0xff,0xbd
38,0,0xff,0x13
39,0,0xff,0xdb
40,0,0xff,0xce
41,0,0xff,0x17
42,0,0xff,0x00
43,0,0xff,0xdf
44,0,0xff,0x56
45,0,0xff,0x65
46,0,0xff,0x60
47,0,0xff,0xda
48,0,0xff,0xc7
49,0,0xff,0x81
50,0,0xff,0x54
51,0,0xff,0xd1
52,0,0xff,0x06
53,0,0xff,0x48
54,0,0xff,0x7a
55,0,0xff,0xb6
56,0,0xff,0x62
57,0,0xff,0x59
58,0,0xff,0x93
59,0,0xff,0x0a
60,0,0xff,0x36
61,0,0xff,0x5c
62,0,0xff,0x8f
63,0,0xff,0x0a
64,0,0xff,0x8b
65,0,0xff,0xdf
66,0,0xff,0x2f
67,0,0xff,0x46
68,0,0xff,0x04
69,0,0xff,0x1d
70,0,0xff,0xb8
71,0,0xff,0xf6
72,0,0xff,0xdd
73,0,0xff,0x12
74,0,0xff,0x27
75,0,0xff,0xdb
76,0,0xff,0x5a
77,0,0xff,0xe7
78,0,0xff,0xba
79,0,0xff,0xf6
80,0,0xff,0x14
81,0,0xff,0x60
82,0,0xff,0xf9
83,0,0xff,0x5a
84,0,0xff,0xc1
85,0,0xff,0x2c
86,0,0xff,0x72
87,0,0xff,0x13
88,0,0xff,0x39
89,0,0xff,0x7e
90,0,0xff,0xe4
91,0,0xff,0x30
92,0,0xff,0x11
93,0,0xff,0xf9
94,0,0xff,0xc9
95,0,0xff,0xee
96,0,0xff,0xc4
97,0,0xff,0x05
98,0,0xff,0xa7
99,0,0xff,0x75
100,0,0xff,0x0f
101,0,0xff,0x78
102,0,0xff,0x09
103,0,0xff,0x47
104,0,0xff,0x81
105,0,0xff,0xe7
106,0,0xff,0x57
107,0,0xff,0xab
108,0,0xff,0x12
109,0,0xff,0x33
110,0,0xff,0x38
111,0,0xff,0xe0
112,0,0xff,0x85
113,0,0xff,0x42
114,0,0xff,0x49
115,0,0xff,0x5c
116,0,0xff,0x91
117,0,0xff,0xa4
118,0,0xff,0x6f
119,0,0xff,0xbe
120,0,0xff,0x3b
121,0,0xff,0xca
122,0,0xff,0x65
123,0,0xff,0x24
124,0,0xff,0x46
125,0,0xff,0x98
126,0,0xff,0xf3
127,0,0xff,0x45
128,0,0xff,0x0d
129,0,0xff,0x24
130,0,0xff,0x70
131,0,0xff,0xb6
132,0,0xff,0xfe
133,0,0xff,0x16
134,0,0xff,0x12
135,0,0xff,0x2b
136,0,0xff,0x33
137,0,0xff,0x8e
138,0,0xff,0x03
139,0,0xff,0x4b
140,0,0xff,0x8f
141,0,0xff,0xd5
142,0,0xff,0xea
143,0,0xff,0x3e
144,0,0xff,0x42
145,0,0xff,0xef
146,0,0xff,0x85
147,0,0xff,0xb8
148,0,0xff,0xd4
149,0,0xff,0x65
150,0,0xff,0x90
151,0,0xff,0x86
152,0,0xff,0x92
